run_id	object	fault_class	experiment_verdict	clock_bridge_status	clock_bridge_id	clock_uncertainty_ns	source_route_epoch_id	automatic_fallback_observed	fallback_nav_state	fallback_route_epoch_id	post_revocation_old_epoch_consumption_count	post_revocation_old_epoch_writer_count	altitude_loss_m	peak_tilt_rad	peak_angular_rate_rad_s	route_oracle_status	revocation	installation	exclusivity	continuity	recovery	full_trace_event_count	compact_trace_event_count	fault_px4_lower_us	fault_px4_upper_us	failure_detection_latency_ms	last_producer_heartbeat_ros_ns	last_producer_setpoint_ros_ns	last_px4_consumption_us	last_allocator_event_us	last_writer_event_us	first_fallback_consumption_us	first_fallback_allocator_event_us	first_fallback_writer_event_us
p2_external_sigkill_r1_20260717	external	sigkill	PASS	VALID	clock-dfeda18615cf10e6	69214311	3	True	5	4	0	0	0.14281439781188965	0.01728961204102251		PASS	PASS	PASS	PASS	PASS	PASS	4830	843	22162076.939361077	22295023.530865293	1337.011178		1.7842840005143626e+18	22192000.0	23364000.0	23372000.0	23380000.0	23400000.0	23380000.0
p2_external_sigkill_r2_20260717	external	sigkill	PASS	VALID	clock-efe75f10790cedbb	72308367	3	True	5	4	0	0	0.09235668182373047	0.018935257007841953		PASS	PASS	PASS	PASS	PASS	PASS	4142	720	22735784.451173604	22874526.00677135	1353.917318		1.7842858155615864e+18	22848000.0	23960000.0	23976000.0	23992000.0	23992000.0	23984000.0
p2_external_sigkill_r3_20260717	external	sigkill	PASS	VALID	clock-bd95413ee685be54	57811554	3	True	5	4	0	0	0.13374805450439453	0.016768297614338883		PASS	PASS	PASS	PASS	PASS	PASS	4043	700	22485390.767322157	22596437.49582633	1183.850257		1.7842858610581281e+18	22528000.0	23664000.0	23680000.0	23692000.0	23696000.0	23688000.0
p2_external_sigstop_sigcont_r1_20260717	external	sigstop_sigcont	PASS	VALID	clock-46198d86ebed32e8	61172081	3	True	5	4	0	0	0.15281939506530762	0.015103317810005342		PASS	PASS	PASS	PASS	PASS	PASS	4180	729	22762707.976431683	22880193.7113304	1396.468077		1.7842859294892938e+18	22820000.0	24188000.0	24188000.0	24208000.0	24220000.0	24196000.0
p2_external_sigstop_sigcont_r2_20260717	external	sigstop_sigcont	PASS	VALID	clock-0b5003d3c87c36c5	48685010	3	True	5	4	0	0	0.12074494361877441	0.017503234216076177		PASS	PASS	PASS	PASS	PASS	PASS	4228	737	23218509.890848782	23312051.80930135	1360.398637		1.7842859761410706e+18	23224000.0	24536000.0	24552000.0	24560000.0	24568000.0	24560000.0
p2_external_sigstop_sigcont_r3_20260717	external	sigstop_sigcont	PASS	VALID	clock-d412ecaa4a4b9e24	34291930	3	True	5	4	0	0	0.12578284740447998	0.014736239458485588		PASS	PASS	PASS	PASS	PASS	PASS	4400	772	22814463.717705972	22880794.17800028	1298.233497		1.784286022110134e+18	22828000.0	24056000.0	24056000.0	24076000.0	24088000.0	24064000.0
p2_external_sigterm_r2_20260717	external	sigterm	PASS	VALID	clock-275c6615e9cf2fa4	49295950	3	True	5	4	0	0	0.007066488265991211	0.017117736088706658		PASS	PASS	PASS	PASS	PASS	PASS	4126	718	22988127.988149695	23082466.484132305	87.747057		1.7842856517029814e+18	23004000.0	23116000.0	23116000.0	23128000.0	23148000.0	23124000.0
p2_external_sigterm_r3_20260717	external	sigterm	PASS	VALID	clock-aa8c1a219dc53b8f	86266473	3	True	5	4	0	0	0.0418856143951416	0.01500003051645224		PASS	PASS	PASS	PASS	PASS	PASS	3938	686	23020365.951913442	23186231.483634625	252.340617		1.7842857263040184e+18	23056000.0	23156000.0	23172000.0	23188000.0	23188000.0	23180000.0
p2_external_sigterm_r4_20260717	external	sigterm	PASS	VALID	clock-a19711b037c0261d	47740618	3	True	5	4	0	0	0.011701822280883789	0.017134323632355525		PASS	PASS	PASS	PASS	PASS	PASS	3955	696	22887415.257260837	22979136.238556646	46.984144		1.7842857708567378e+18	22876000.0	22920000.0	22932000.0	22952000.0	22952000.0	22940000.0
p2_offboard_sigkill_r1_20260717	offboard	sigkill	PASS	VALID	clock-0593ddf98e9bcc24	84810898	3	True	4	4	0	0	0.04584395885467529	0.0010640631516983178		PASS	PASS	PASS	PASS	PASS	PASS	5054	976	22523816.987129737	22686969.519952875	1184.901774	1.7842838400113743e+18	1.7842838400113743e+18	22556000.0	23568000.0	23584000.0	23608000.0	23604000.0	23596000.0
