run_id	object	heartbeat_or_health_enabled	setpoint_enabled	expected_fallback	experiment_verdict	clock_bridge_status	clock_bridge_id	clock_uncertainty_ns	source_route_epoch_id	automatic_fallback_observed	fallback_nav_state	fallback_route_epoch_id	post_revocation_old_epoch_consumption_count	post_revocation_old_epoch_writer_count	altitude_loss_m	peak_tilt_rad	peak_angular_rate_rad_s	route_oracle_status	revocation	installation	exclusivity	continuity	recovery	full_trace_event_count	compact_trace_event_count
p3_external_health_off_sp_off_r1_20260717	external	False	False	True	PASS	VALID	clock-d1b13c68845b0aa2	46267443	3	True	5	4	0	0	0.0	0.001307599734532397		PASS	PASS	PASS	PASS	PASS	PASS	5258	1088
p3_external_health_off_sp_off_r3_20260717	external	False	False	True	PASS	VALID	clock-19d93e1100d99120	45396330	3	True	5	4	0	0	0.07214140892028809	0.0042459175573893795		PASS	PASS	PASS	PASS	PASS	PASS	5260	1083
p3_external_health_off_sp_off_r4_20260717	external	False	False	True	PASS	VALID	clock-a7b426d3e48cf006	77969031	3	True	5	4	0	0	0.0	0.0021279510980424525		PASS	PASS	PASS	PASS	PASS	PASS	5178	1065
p3_external_health_off_sp_on_r3_20260717	external	False	True	True	PASS	VALID	clock-b89a227f828590d5	34284984	3	True	5	4	0	0	0.0028253793716430664	0.0016298707512582176		PASS	PASS	PASS	PASS	PASS	PASS	5292	1083
p3_external_health_off_sp_on_r4_20260717	external	False	True	True	PASS	VALID	clock-fd3ff47b21baa08a	29095352	3	True	5	4	0	0	0.0013568401336669922	0.0018322696964807956		PASS	PASS	PASS	PASS	PASS	PASS	5179	1064
p3_external_health_off_sp_on_r5_20260717	external	False	True	True	PASS	VALID	clock-a9948fcc84c3a479	34970800	3	True	5	4	0	0	0.021144509315490723	0.0019674010156531087		PASS	PASS	PASS	PASS	PASS	PASS	5175	1065
p3_external_health_on_sp_off_r1_20260717	external	True	False	False	PASS	VALID	clock-5cfb492c53f2ccef	57969689	3	False	4	4	0	0	0.03134489059448242	0.002217370665806527		PASS	PASS	PASS	PASS	PASS	PASS	5690	1177
p3_external_health_on_sp_off_r2_20260717	external	True	False	False	PASS	VALID	clock-bcdad325dc0cae77	31553542	3	False	4	4	0	0	0.0	0.0017854908590447351		UNKNOWN	PASS	PASS	UNKNOWN	UNKNOWN	PASS	5677	1176
p3_external_health_on_sp_off_r3_20260717	external	True	False	False	PASS	VALID	clock-5234f34c7476c098	87537264	3	False	4	4	0	0	0.0	0.0015895937602490372		UNKNOWN	PASS	PASS	UNKNOWN	UNKNOWN	PASS	5674	1179
p3_external_health_on_sp_on_r1_20260717	external	True	True	False	PASS	VALID	clock-16e37f1620f8fd15	49029648	3	False	4	4	0	0	0.0	0.001611010338786942		PASS	PASS	PASS	PASS	PASS	PASS	5763	1186
p3_external_health_on_sp_on_r2_20260717	external	True	True	False	PASS	VALID	clock-cf5afad19321a9d2	70576222	3	False	4	4	0	0	0.07268679141998291	0.002004003045238849		UNKNOWN	PASS	PASS	UNKNOWN	UNKNOWN	PASS	5755	1184
p3_external_health_on_sp_on_r3_20260717	external	True	True	False	PASS	VALID	clock-f408bbf52e121ce8	91821838	3	False	4	4	0	0	0.0	0.0022456646644667226		UNKNOWN	PASS	PASS	UNKNOWN	UNKNOWN	PASS	5762	1184
p3_offboard_hb_off_sp_off_r3_20260717	offboard	False	False	True	PASS	VALID	clock-8cf39d46f7424ca8	78570493	3	True	4	4	0	0	0.0	0.0011193259569771594		PASS	PASS	PASS	PASS	PASS	PASS	5648	1300
p3_offboard_hb_off_sp_off_r4_20260717	offboard	False	False	True	PASS	VALID	clock-b45f517a42c74219	43253074	3	True	4	4	0	0	0.0	0.0016019978234756524		PASS	PASS	PASS	PASS	PASS	PASS	5592	1281
