cell_id	metric	valid_pair_count	median_dynamic_minus_offboard	iqr	bootstrap_ci_lower	bootstrap_ci_upper	combined_uncertainty	coefficient_of_variation	difference_below_combined_uncertainty	adaptive_repeat_trigger	adaptive_repeat_reasons	effect_direction	interpretation
p5_t1_hover	registration_admission_latency_ms	5	84.0	40.0	0.0	88.0	55.74139641250106	0.6221578995845966	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t1_hover	activation_latency_ms	5	84.0	40.0	-20.0	88.0	55.74139641250106	0.8077675568664081	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t4_turn	failure_detection_latency_ms	5	-0.5056700000000021	136.621504	-134.848814	28.915817	55.61776061182267	1.9774433829081042	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t5_hover	failure_detection_latency_ms	5	75.8580579999998	140.62502100000006	7.6023770000001605	173.63750600000003	59.43467240496807	0.9243103531988937	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t6_straight	failure_detection_latency_ms	5	51.85257299999989	110.59123999999974	-31.247806999999966	215.09345699999994	66.1230883631166	1.0921317274124351	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t4_turn	fallback_selection_latency_ms	5	-0.5056700000000021	136.621504	-134.848814	28.915817	55.61776061182267	1.9774433829081042	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t5_hover	fallback_selection_latency_ms	5	75.8580579999998	140.62502100000006	7.6023770000001605	173.63750600000003	59.43467240496807	0.9243103531988937	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t6_straight	fallback_selection_latency_ms	5	51.85257299999989	110.59123999999974	-31.247806999999966	215.09345699999994	66.1230883631166	1.0921317274124351	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t2_straight	unregistration_release_latency_ms	5	-4.0	4.0	-12.0	8.0	77.25042059445941	3.0276503540974917	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t4_turn	unregistration_release_latency_ms	5	4.0	12.0	-12.0	12.0	55.61776061182267	6.020797289396148	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t1_hover	first_target_consumption_ms	5	84.0	40.0	-20.0	88.0	55.74139641250106	0.8077675568664081	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t2_straight	first_target_consumption_ms	5	-8.0	20.0	-20.0	4.0	77.25042059445941	1.541604102834623	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t4_turn	first_target_consumption_ms	5	-4.0	12.0	-12.0	12.0	55.61776061182267	6.020797289396148	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t5_hover	first_target_consumption_ms	5	-4.0	4.0	-8.0	16.0	59.43467240496807	6.274950199005566	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t6_straight	first_target_consumption_ms	5	0.0	12.0	-4.0	16.0	66.1230883631166	1.8066236157232334	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t7_turn	first_target_consumption_ms	5	4.0	0.0	-4.0	16.0	57.47096699778451	1.4907119849998598	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t8_descent	first_target_consumption_ms	5	4.0	16.0	-12.0	20.0	64.41726396280045	16.73320053068151	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t1_hover	old_epoch_revocation_ms	5	0.0	4.0	0.0	4.0	55.74139641250106	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t2_straight	old_epoch_revocation_ms	5	0.0	0.0	-4.0	4.0	77.25042059445941		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t4_turn	old_epoch_revocation_ms	5	0.0	8.0	-4.0	4.0	55.61776061182267		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t5_hover	old_epoch_revocation_ms	5	0.0	4.0	-4.0	0.0	59.43467240496807	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t6_straight	old_epoch_revocation_ms	5	-4.0	0.0	-4.0	4.0	66.1230883631166	1.4907119849998598	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	old_epoch_revocation_ms	5	0.0	4.0	-4.0	4.0	57.47096699778451	4.183300132670378	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t8_descent	old_epoch_revocation_ms	5	4.0	4.0	0.0	4.0	64.41726396280045	0.9128709291752768	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t1_hover	target_installation_ms	5	84.0	40.0	0.0	88.0	55.74139641250106	0.6221578995845966	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t2_straight	target_installation_ms	5	-4.0	4.0	-12.0	8.0	77.25042059445941	3.0276503540974917	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t4_turn	target_installation_ms	5	4.0	12.0	-12.0	12.0	55.61776061182267	6.020797289396148	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t5_hover	target_installation_ms	5	-4.0	4.0	-20.0	12.0	59.43467240496807	2.386303510546059	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t6_straight	target_installation_ms	5	-8.0	16.0	-12.0	8.0	66.1230883631166	2.345207879911715	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	target_installation_ms	5	4.0	4.0	-8.0	12.0	57.47096699778451	3.0276503540974917	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t8_descent	target_installation_ms	5	-4.0	0.0	-12.0	28.0	64.41726396280045	19.493588689617926	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t1_hover	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	55.74139641250106	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t2_straight	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	77.25042059445941	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t4_turn	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	55.61776061182267	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t5_hover	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	59.43467240496807	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t6_straight	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	66.1230883631166	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t7_turn	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	57.47096699778451	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t8_descent	maximum_overlap_ms	5	0.0	0.0	0.0	0.0	64.41726396280045	0.0	True	True	difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t1_hover	maximum_gap_ms	5	0.0	8.0	0.0	8.0	55.74139641250106	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t2_straight	maximum_gap_ms	5	0.0	0.0	-8.0	8.0	77.25042059445941		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t4_turn	maximum_gap_ms	5	0.0	16.0	-8.0	8.0	55.61776061182267		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t5_hover	maximum_gap_ms	5	0.0	8.0	-8.0	0.0	59.43467240496807	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t6_straight	maximum_gap_ms	5	-8.0	0.0	-8.0	8.0	66.1230883631166	1.4907119849998598	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	maximum_gap_ms	5	0.0	8.0	-8.0	8.0	57.47096699778451	4.183300132670378	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t8_descent	maximum_gap_ms	5	8.0	8.0	0.0	8.0	64.41726396280045	0.9128709291752768	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t1_hover	allocator_transition_ms	5	84.0	40.0	0.0	88.0	55.74139641250106	0.6221578995845966	False	True	coefficient_of_variation	dynamic_higher	not resolved above uncertainty
p5_t2_straight	allocator_transition_ms	5	-4.0	4.0	-12.0	8.0	77.25042059445941	3.0276503540974917	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t4_turn	allocator_transition_ms	5	4.0	12.0	-12.0	12.0	55.61776061182267	6.020797289396148	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t5_hover	allocator_transition_ms	5	-4.0	4.0	-20.0	12.0	59.43467240496807	2.386303510546059	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t6_straight	allocator_transition_ms	5	-8.0	16.0	-12.0	8.0	66.1230883631166	2.345207879911715	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	allocator_transition_ms	5	4.0	4.0	-8.0	12.0	57.47096699778451	3.0276503540974917	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t8_descent	allocator_transition_ms	5	-4.0	0.0	-12.0	28.0	64.41726396280045	19.493588689617926	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t1_hover	writer_transition_ms	5	0.0	4.0	0.0	4.0	55.74139641250106	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t2_straight	writer_transition_ms	5	0.0	0.0	-4.0	4.0	77.25042059445941		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t4_turn	writer_transition_ms	5	0.0	8.0	-4.0	4.0	55.61776061182267		True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t5_hover	writer_transition_ms	5	0.0	4.0	-4.0	0.0	59.43467240496807	1.369306393762915	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t6_straight	writer_transition_ms	5	-4.0	0.0	-4.0	4.0	66.1230883631166	1.4907119849998598	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	writer_transition_ms	5	0.0	4.0	-4.0	4.0	57.47096699778451	4.183300132670378	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t8_descent	writer_transition_ms	5	4.0	4.0	0.0	4.0	64.41726396280045	0.9128709291752768	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t4_turn	altitude_loss_m	5	-0.013219594955444336	0.02768385410308838	-0.03366422653198242	0.0036638975143432617	0.01414213562373095	1.2290135217579121	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t5_hover	altitude_loss_m	5	0.0	0.0005420446395874023	-0.004903078079223633	0.0011886358261108398	0.01414213562373095	3.4660016892042655	True	True	coefficient_of_variation,difference_below_combined_uncertainty	no_shift	not resolved above uncertainty
p5_t6_straight	altitude_loss_m	5	-0.0005970001220703125	0.008767127990722656	-0.007588863372802734	0.012323141098022461	0.01414213562373095	3.9786644383024266	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_lower	not resolved above uncertainty
p5_t7_turn	altitude_loss_m	5	0.002726435661315918	0.023093104362487793	-0.041648268699645996	0.027752041816711426	0.01414213562373095	6.7672779731300094	True	True	coefficient_of_variation,difference_below_combined_uncertainty	dynamic_higher	not resolved above uncertainty
p5_t8_descent	altitude_loss_m	5	0.03993678092956543	0.022944092750549316	0.015947818756103516	0.0693897008895874	0.01414213562373095	0.5605198818818666	False	True	coefficient_of_variation	dynamic_higher	measurable mechanism difference
p5_t4_turn	peak_tilt_rad	5	-0.012238539292090872	0.0029644999849427894	-0.013600889597966723	-0.009803526209448618	0.001414213562373095	0.14412403779098312	False	False		dynamic_lower	measurable mechanism difference
